Region,ParkNameGroupTitle,ParkTotal,RegionNameTotal,RegionTotal,ReportTotal1
Southeast  Region,Andrew Johnson NHS,45357,Southeast  Region Total,63631541,307247252
Southeast  Region,Big Cypress NPRES,1112290,Southeast  Region Total,63631541,307247252
Southeast  Region,Big South Fork NRRA,643135,Southeast  Region Total,63631541,307247252
Southeast  Region,Biscayne NP,508164,Southeast  Region Total,63631541,307247252
Southeast  Region,Blue Ridge PKWY,15054603,Southeast  Region Total,63631541,307247252
Southeast  Region,Buck Island Reef NM,41936,Southeast  Region Total,63631541,307247252
Southeast  Region,Canaveral NS,1689754,Southeast  Region Total,63631541,307247252
Southeast  Region,Cane River Creole NHP,30882,Southeast  Region Total,63631541,307247252
Southeast  Region,Cape Hatteras NS,2274635,Southeast  Region Total,63631541,307247252
Southeast  Region,Cape Lookout NS,400413,Southeast  Region Total,63631541,307247252
Southeast  Region,Carl Sandburg Home NHS,72606,Southeast  Region Total,63631541,307247252
Southeast  Region,Castillo de San Marcos NM,819154,Southeast  Region Total,63631541,307247252
Southeast  Region,Charles Pinckney NHS,46995,Southeast  Region Total,63631541,307247252
Southeast  Region,Chattahoochee River NRA,3173204,Southeast  Region Total,63631541,307247252
Southeast  Region,Chickamauga & Chattanooga NMP,1002373,Southeast  Region Total,63631541,307247252
Southeast  Region,Christiansted NHS,116817,Southeast  Region Total,63631541,307247252
Southeast  Region,Congaree NP,87513,Southeast  Region Total,63631541,307247252
Southeast  Region,Cowpens NB,206740,Southeast  Region Total,63631541,307247252
Southeast  Region,Cumberland Gap NHP,840601,Southeast  Region Total,63631541,307247252
Southeast  Region,Cumberland Island NS,59859,Southeast  Region Total,63631541,307247252
Southeast  Region,De Soto NMEM,293647,Southeast  Region Total,63631541,307247252
Southeast  Region,Dry Tortugas NP,70862,Southeast  Region Total,63631541,307247252
